name,descr,company,calories,sodium,trans_fat,sat_fat,sodium_units,trans_fat_units,sat_fat_units,serving_size,fat,protein,carbs,category,serving_size_units,fat_units,protein_units,carb_units,nutrition,rank,sugar,rank_out_of,sugar_units,price_in_dollar
Vampire Taco,"Tacos can be healthy, but not when the tortillas are coated with a crispy grilled cheese and stuffed with pork, bacon chorizo and cream sauce. Along with the side of rice, beans and a 32 ounce IPA, this meal comes in at 2,040 calories, 27 grams of saturated fat, and 3,820 milligrams of sodium.",Yard House,2040,3820.0,,27.0,mg,,g,,27.0,,,,,g,,,"2,040 calories, 27 grams of saturated fat, and 3,820 milligrams of sodium.",4.0,,40.0,g,
Peanut Butter S’mores Pizookie,"We're not denying that this triple chocolate cookie, complete with peanut butter, marshmallow fluff, marshmallows, and vanilla ice cream sounds good, but it's probably best enjoyed sparingly. And with plenty of other co-diners. This dessert contains 1,580 calories, 31 grams of saturated fat, and 135 grams of sodium.",BJs Restaurant & Brewhouse,1580,135.0,,31.0,mg,,g,,31.0,,,,,g,,,"1,580 calories, 31 grams of saturated fat, and 135 grams of sodium.",6.0,,40.0,g,
Chicken Avocado Quesadilla,"Quesadillas are usually higher in the calorie, fat, and sodium department due to the amount of full-fat cheese in them, but this option from El Pollo Loco also has a cream-based dressing, says Proctor. It has 940 calories, 23 grams of saturated fat, and 1,820 milligrams of sodium.",El Pollo Loco,940,1820.0,,23.0,mg,,g,,23.0,,,,,g,,,"940 calories, 23 grams of saturated fat, and 1,820 milligrams of sodium",15.0,,40.0,g,
Double Double,"Items off of the secret menu, like 3x3, 4x4, and animal style, are worse, but the double double off of the main menu is pretty bad. It has 670 calories, 41 grams of fat (18 grams saturated fat), and 1,440 milligrams of sodium, thanks to a ton of cheese and two patties.",In N Out,670,1440.0,,18.0,mg,,g,,41.0,,,,,g,,,"670 calories, 41 grams of fat (18 grams saturated fat), and 1,440 milligrams of sodium",36.0,,40.0,g,
Cosmic Strawberry Coolata,"Nothing cool about this frosty beverage! ""With a whopping 30+ teaspoons of sugar and just about nothing else, this drink is sure to do a number on your blood sugar,"" says White. a large  has 480 calories, 60 milligrams sodium—and 121 grams of sugar. (Yikes!)",Dunkin Donuts,480,60.0,,,mg,,g,,,,,,,g,,,"480 calories, 60 milligrams sodium—and 121 grams of sugar",24.0,121.0,40.0,g,
Rustic Italian Panini,"""Heavily processed meats, like the salami and pepperoni, combined with a pesto vinaigrette brings the calorie, fat, saturated fat, and sodium content up,"" says Proctor. When picking out a sandwich, look for leaner sources of protein, like chicken breast or turkey, to bring down the calorie and fat content. This sandwich has 1,030 calories, 23 grams of saturated fat, and 3,310 milligrams of sodium.",Corner Bakery,1030,3310.0,,23.0,mg,,g,,23.0,,,,,g,,,"1,030 calories, 23 grams of saturated fat, and 3,310 milligrams of sodium",10.0,,40.0,g,
Big Farmhouse BreakFEAST,"""Depending on the accoutrements, this morning meal of eggs, pancakes, toast, and processed meats stacks up to nearly 2,000 calories and an obscene amount of sodium–nearly double the daily recommendation,"" says cookbook author, registered dietitian, certified athletic trainer Dana Angelo White, MS, RD ATC. The full meal contains 1,900 calories, 46 grams saturated fat, and 4,680 milligrams sodium.",IHOPs,2000,2000.0,,46.0,mg,,g,,46.0,,,,,g,,,"1,900 calories, 46 grams saturated fat, and 4,680 milligrams sodium.",20.0,,40.0,g,
Chicken Alfredo,"""A hard even 100 grams of fat in this pasta dish, and more than half is the artery-clogging saturated kind. And this is before the endless salad and breadsticks,"" says White. The dish has 1,620 calories, 100 grams of fat, and 1,680 milligrams of sodium.",Olive Garden,1620,1680.0,,,mg,,g,,100.0,,,,,g,,,"1,620 calories, 100 grams of fat, and 1,680 milligrams of sodium.",40.0,,40.0,g,
Breakfast Burrito,"Filled with scrambled eggs, bacon, chicken chorizo, cheese, crispy potatoes, avocado, peppers, and onions, it's no surprise this burrito made the list. With a serving of sour cream and black beans, this entree will set you back 2,730 calories, 73 grams of saturated fat, and 4,630 milligrams of sodium.",Cheesecake Factory,2730,4630.0,,73.0,mg,,g,,73.0,,,,,g,,,"2,730 calories, 73 grams of saturated fat, and 4,630 milligrams of sodium.",1.0,,40.0,g,
Double Chicken Tostada Salad,"While it does have 10 grams of fiber, this salad has more calories than some fast food burgers. ""The main calorie and fat driver in this meal is the fried tostada bowl. Nix the fried tostada bowl to make a heart healthier salad,"" says Proctor—and ask for dressing on the side. All-in-all, this salad has 1,000 calories, 49 grams of saturated fat, and 1,730 milligrams of sodium.",El Pollo Loco,1000,1730.0,,49.0,mg,,g,,49.0,,,,,g,,,"1,000 calories, 49 grams of saturated fat, and 1,730 milligrams of sodium.",9.0,,40.0,g,
Bloomin Onion,"This app is loaded with refined carbohydrates (almost 200g worth!), which Sam Presicci, MCN, RD, LD, CPT, Lead Registered Dietitian at Snap Kitchen, warns can contribute to digestive issues and leaky gut. ""The high carbohydrate count is also bad news for blood sugar control [and] the sodium in this dish is also over 3,000 milligrams, which well exceeds what someone should aim for in one meal,"" she says. It n total, it consists of 1,950 calories, 56 grams of saturated fat, and 3,840 milligrams of sodium.",Outback Steakhouse,1950,3840.0,,56.0,mg,,g,,56.0,,,,,g,,,"1,950 calories, 56 grams of saturated fat, and 3,840 milligrams of sodium",27.0,,40.0,g,
Deep Dish Buffalo Chicken Mac & Cheese,"Macaroni and cheese can already be a pretty fattening choice, but topping it with buffalo chicken will add 2,320 calories, 59 grams of saturated fat, and 4,530 milligrams of sodium to your day.",Uno Pizzeria & Grill,2320,4530.0,,59.0,mg,,g,,59.0,,,,,g,,,"2,320 calories, 59 grams of saturated fat, and 4,530 milligrams of sodium",38.0,,40.0,g,
Spicy Italian,"For a 6-inch sub, this one is a doozy. It has 450 calories, 24 grams of fat (9 grams of saturated fat), and 1,240",Subway,450,,,,mg,,g,,24.0,,,,,g,,,"450 calories, 24 grams of fat (9 grams of saturated fat), and 1,240",37.0,,40.0,g,
Chalupa Craving Box,"Why is this so bad for you? ""Pile on a fried and greasy taco, burrito, and a chalupa, and then finish it off with cinnamon twists (more fried) and a sugary soda,"" explains White. That'll all set you back 1,180 calories, 52 grams fat, and 2,370 milligrams sodium.",Taco Bell,1180,2370.0,,,mg,,g,,52.0,,,,,g,,,"1,180 calories, 52 grams fat, and 2,370 milligrams sodium.",21.0,,40.0,g,
Chicken & Bacon Ranch Melt,"It might not sound that bad, but the Chicken & Bacon Ranch Melt is one of the unhealthiest items on Subway's menu. ""The ranch dressing, combined with the cheese and bacon, means that the sodium level is sky high. In fact, a 12-inch sub contains almost two-thirds of your daily sodium,"" says Richards. It contains 540 calories, 10 grams of saturated fat, and 1,100 milligrams of sodium.",Subway,540,1100.0,,10.0,mg,,g,,10.0,,,,,g,,,"540 calories,",12.0,,40.0,g,
Chicken & Shrimp Carbonara,"This take on surf n' turf is way, way bad for you. It clocks in at 1,390 calories, 94 grams of fat, and 2,050 milligrams of sodium. Yes, that's right, it has trans fat, which is a huge no-no for your heart.",Olive Garden,1390,2050.0,,,mg,,g,,94.0,,,,,g,,,"1,390 calories, 94 grams of fat, and 2,050 milligrams of sodium",22.0,,40.0,g,
Brunch Burger,"""A buttery croissant meets a bacon cheeseburger with a fried egg and comes in at a whopping 770 calories, 21 grams of saturated fat, and 730 milligrams of sodium,"" says Rizzo. Please don't start your day with this—it won't start the day on a good note.",Jack In The Box,770,730.0,,21.0,mg,,g,,21.0,,,,,g,,,"770 calories, 21 grams of saturated fat, and 730 milligrams of sodium",26.0,,40.0,g,
Deluxe Original Sandwich,"""This sandwich [in a large] has more than 7,500 milligrams of sodium and almost 2,000 calories, which is more than almost anyone should consume in one sitting,"" says Presicci. ""Combine that with more than 150 grams of carbs (this is the equivalent of about 10 normal slices of bread) and you'll be left feeling tired, puffy, and cranky,"" she adds. It also has 42 grams saturated fat.",Schlotzskys,2000,7500.0,,42.0,mg,,g,,42.0,,,,,g,,,"7,500 milligrams of sodium and almost 2,000 calories",32.0,,40.0,g,
Triple Whopper Sandwich,"""The Triple Whopper won't do your waistline any favors, thanks to the 1,140 calories and 75 grams of fat, and the high sodium levels are bad for your heart health,"" says Richards. Just as bad, this burger contains 5 grams of trans fat, which can increase your LDL cholesterol, clog up your arteries, and increase the risk of heart disease, she says. It also has 27 grams of saturated fat and 840 milligrams sodium.",Burger King,1140,840.0,,27.0,mg,,g,,75.0,,,,,g,,,"1,14",13.0,,40.0,g,
Double SmokeShack Burger,"Of course, there are healthy fast food burger choices, like a single hamburger. But this DoubleSmoke Shack with bacon, cherry pepper, and ShackSauce is one of the most fattening options. The sandwich alone has 930 calories, but paired with a side of fries and a peanut butter shake, this fast food lunch comes in at 2,240 calories, 55 grams of saturated fat, and 3,170 milligrams of sodium.",Shake Shack,930,3170.0,,55.0,mg,,g,,55.0,,,,,g,,,"2,240 calories, 55 grams of saturated fat, and 3,170 milligrams of sodium.",7.0,,40.0,g,
The  Macaroni and Cheese Burger,"Mac and cheese on a burger? Yes, it sounds amazing, but it might be bad news for your health. ""Doesn't every cheeseburger need a pile of fried mac and cheese? And a side of fries, of course,"" jokes White. Avoid this doozy, as it comes to 1,330 calories, 83 grams of fat, and 2,560 milligrams of sodium.",Cheesecake Factory,1330,2560.0,,,mg,,g,,83.0,,,,,g,,,"1,330 calories, 83 grams of fat, and 2,560 milligrams of sodium.",23.0,,40.0,g,
